src,timestamp,coordination.x,coordination.y
M_MOVE,1669545721.334,776,537
M_MOVE,1669545721.556,775,535
M_MOVE,1669545721.565,772,532
M_MOVE,1669545721.573,768,527
M_MOVE,1669545721.582,764,524
M_MOVE,1669545721.59,758,520
M_MOVE,1669545721.599,753,516
M_MOVE,1669545721.607,748,514
M_MOVE,1669545721.616,743,512
M_MOVE,1669545721.625,738,510
M_MOVE,1669545721.634,733,510
M_MOVE,1669545721.642,725,510
M_MOVE,1669545721.651,717,510
M_MOVE,1669545721.659,712,510
M_MOVE,1669545721.667,708,512
M_MOVE,1669545721.675,706,513
M_MOVE,1669545721.685,703,516
M_MOVE,1669545721.693,701,520
M_MOVE,1669545721.702,698,527
M_MOVE,1669545721.711,694,533
M_MOVE,1669545721.72,689,550
M_MOVE,1669545721.729,685,562
M_MOVE,1669545721.737,676,591
M_MOVE,1669545721.746,666,629
M_MOVE,1669545721.754,653,674
M_MOVE,1669545721.764,643,716
M_MOVE,1669545721.773,630,761
M_MOVE,1669545721.781,595,876
M_MOVE,1669545721.789,577,927
M_MOVE,1669545721.797,562,966
M_MOVE,1669545721.807,540,1018
M_MOVE,1669545721.815,516,1066
M_MOVE,1669545721.824,496,1103
M_MOVE,1669545721.832,470,1151
M_MOVE,1669545721.841,441,1202
M_MOVE,1669545721.85,420,1240
M_MOVE,1669545721.858,393,1288
M_MOVE,1669545721.867,369,1335
M_MOVE,1669545721.876,351,1369
M_MOVE,1669545721.885,330,1405
M_MOVE,1669545721.893,303,1459
M_MOVE,1669545721.901,291,1480
M_MOVE,1669545721.908,282,1496
M_MOVE,1669545721.916,271,1514
M_MOVE,1669545721.925,259,1533
M_MOVE,1669545721.932,251,1545
M_MOVE,1669545721.949,230,1569
M_MOVE,1669545721.959,224,1575
M_MOVE,1669545721.968,218,1581
M_MOVE,1669545721.977,212,1586
M_MOVE,1669545721.986,209,1591
M_MOVE,1669545721.995,206,1594
M_MOVE,1669545722.003,204,1599
M_MOVE,1669545722.014,202,1603
M_MOVE,1669545722.021,201,1605
M_MOVE,1669545722.03,199,1609
M_MOVE,1669545722.037,198,1612
M_MOVE,1669545722.048,195,1618
M_MOVE,1669545722.055,190,1627
M_MOVE,1669545722.072,187,1633
M_MOVE,1669545722.087,184,1638
M_MOVE,1669545722.096,182,1640
M_MOVE,1669545722.103,181,1642
M_MOVE,1669545722.119,180,1645
M_MOVE,1669545722.127,179,1648
M_MOVE,1669545722.135,177,1653
M_MOVE,1669545722.151,174,1665
M_MOVE,1669545722.159,171,1673
M_MOVE,1669545722.166,169,1682
M_MOVE,1669545722.174,168,1685
M_MOVE,1669545722.183,165,1693
M_MOVE,1669545722.191,164,1699
M_MOVE,1669545722.2,162,1705
M_MOVE,1669545722.209,161,1712
M_MOVE,1669545722.218,159,1718
M_MOVE,1669545722.227,158,1725
M_MOVE,1669545722.235,157,1731
M_MOVE,1669545722.245,156,1738
M_MOVE,1669545722.253,156,1740
M_MOVE,1669545722.262,155,1746
M_MOVE,1669545722.271,154,1752
M_MOVE,1669545722.282,153,1756
M_MOVE,1669545722.289,152,1763
M_MOVE,1669545722.305,152,1764
M_MOVE,1669545722.337,153,1761
M_MOVE,1669545722.345,156,1756
M_MOVE,1669545722.354,162,1747
M_MOVE,1669545722.363,171,1737
M_MOVE,1669545722.37,186,1723
M_MOVE,1669545722.38,201,1711
M_MOVE,1669545722.388,226,1694
M_MOVE,1669545722.397,266,1670
M_MOVE,1669545722.406,304,1647
M_MOVE,1669545722.415,354,1620
M_MOVE,1669545722.424,400,1596
M_MOVE,1669545722.433,458,1567
M_MOVE,1669545722.441,582,1505
M_MOVE,1669545722.449,644,1473
M_MOVE,1669545722.458,720,1433
M_MOVE,1669545722.466,784,1399
M_MOVE,1669545722.475,862,1359
M_MOVE,1669545722.483,930,1324
M_MOVE,1669545722.492,1010,1286
M_MOVE,1669545722.5,1077,1255
M_MOVE,1669545722.51,1157,1224
M_MOVE,1669545722.518,1236,1196
M_MOVE,1669545722.527,1305,1175
M_MOVE,1669545722.535,1384,1152
M_MOVE,1669545722.544,1446,1136
M_MOVE,1669545722.553,1515,1117
