src,timestamp,key,is_pressed
KBD,1669590765.848,S,True
KBD,1669590765.932,S,False
KBD,1669590766.022,C,True
KBD,1669590766.109,C,False
KBD,1669590766.541,ENTER,True
KBD,1669590766.613,ENTER,False
KBD,1669603183.167,S,True
KBD,1669603183.209,S,False
KBD,1669603183.374,C,True
KBD,1669603183.471,C,False
KBD,1669603183.566,A,True
KBD,1669603183.654,A,False
KBD,1669603183.781,D,True
KBD,1669603183.848,D,False
KBD,1669603183.9,A,True
KBD,1669603183.98,A,False
KBD,1669603184.455,ENTER,True
KBD,1669603184.481,ENTER,False
KBD,1669603199.782,1,True
KBD,1669603199.852,9,True
KBD,1669603199.874,1,False
KBD,1669603199.914,2,True
KBD,1669603199.939,9,False
KBD,1669603200.02,2,False
KBD,1669603200.479,RIGHT,True
KBD,1669603200.593,RIGHT,False
KBD,1669603201.171,S,True
KBD,1669603201.246,S,False
KBD,1669603201.364,C,True
KBD,1669603201.442,C,False
KBD,1669603201.509,A,True
KBD,1669603201.588,A,False
KBD,1669603201.688,D,True
KBD,1669603201.768,A,True
KBD,1669603201.772,D,False
KBD,1669603201.856,A,False
KBD,1669603202.146,ENTER,True
KBD,1669603202.232,ENTER,False
KBD,1669603230.835,ALT,True
KBD,1669603230.863,CTRL,True
KBD,1669603230.99,CTRL,False
KBD,1669603231.01,ALT,False
KBD,1669603776.716,1,True
KBD,1669603776.857,1,False
KBD,1669603777.194,9,True
KBD,1669603777.269,9,False
KBD,1669603777.272,2,True
KBD,1669603777.369,2,False
KBD,1669603778.011,RIGHT,True
KBD,1669603778.135,RIGHT,False
KBD,1669603778.549,S,True
KBD,1669603778.679,S,False
KBD,1669603778.81,C,True
KBD,1669603778.917,C,False
KBD,1669603778.967,A,True
KBD,1669603779.072,A,False
KBD,1669603779.127,D,True
KBD,1669603779.233,A,True
KBD,1669603779.247,D,False
KBD,1669603779.318,A,False
KBD,1669603780.221,ENTER,True
KBD,1669603780.322,ENTER,False
KBD,1669603780.492,F12,True
KBD,1669603780.589,F12,False
KBD,1669607674.535,SPACE,True
KBD,1669607674.624,SPACE,False
KBD,1669607675.073,BACKSPACE,True
KBD,1669607675.167,BACKSPACE,False
KBD,1669607675.515,S,True
KBD,1669607675.62,S,False
KBD,1669607675.741,C,True
KBD,1669607675.819,C,False
KBD,1669607675.896,A,True
KBD,1669607675.983,A,False
KBD,1669607676.123,D,True
KBD,1669607676.196,D,False
KBD,1669607676.238,A,True
KBD,1669607676.321,A,False
KBD,1669607676.501,ENTER,True
KBD,1669607676.577,ENTER,False
KBD,1669607692.93,1,True
KBD,1669607693.028,1,False
KBD,1669607693.029,9,True
KBD,1669607693.109,9,False
KBD,1669607693.129,2,True
KBD,1669607693.197,2,False
KBD,1669607693.967,RIGHT,True
KBD,1669607694.048,RIGHT,False
KBD,1669607694.908,S,True
KBD,1669607694.998,S,False
KBD,1669607695.1,C,True
KBD,1669607695.177,C,False
KBD,1669607695.239,A,True
KBD,1669607695.349,A,False
KBD,1669607695.402,D,True
KBD,1669607695.498,D,False
KBD,1669607695.503,A,True
KBD,1669607695.587,A,False
KBD,1669607696.125,ENTER,True
KBD,1669607696.189,ENTER,False
KBD,1669607698.9,F12,True
KBD,1669607698.993,F12,False
KBD,1669607940.2,CMD,True
KBD,1669607940.28,CMD,False
KBD,1669607940.675,K,True
KBD,1669607940.769,K,False
KBD,1669607941.004,A,True
KBD,1669607941.106,A,False
KBD,1669607941.211,T,True
KBD,1669607941.328,E,True
KBD,1669607941.363,T,False
KBD,1669607941.454,E,False
KBD,1669607942.625,ENTER,True
KBD,1669607942.727,ENTER,False
KBD,1669607945.497,CTRL,True
KBD,1669607945.788,V,True
KBD,1669607945.91,V,False
KBD,1669607945.965,CTRL,False
KBD,1669613028.498,SPACE,True
KBD,1669613028.586,SPACE,False
KBD,1669613029.084,BACKSPACE,True
KBD,1669613029.157,BACKSPACE,False
KBD,1669613029.221,S,True
KBD,1669613029.301,S,False
KBD,1669613029.416,C,True
KBD,1669613029.486,C,False
KBD,1669613029.56,A,True
KBD,1669613029.655,A,False
KBD,1669613029.749,D,True
KBD,1669613029.829,D,False
KBD,1669613029.837,A,True
KBD,1669613029.929,A,False
KBD,1669613030.034,ENTER,True
KBD,1669613030.119,ENTER,False
KBD,1669613034.81,CTRL,True
KBD,1669613035.282,CTRL,False
KBD,1669613053.541,V,True
KBD,1669613053.635,M,True
KBD,1669613053.635,V,False
KBD,1669613053.707,M,False
KBD,1669613053.799,W,True
KBD,1669613053.876,W,False
KBD,1669613053.947,A,True
KBD,1669613054.025,A,False
KBD,1669613054.271,TAB,True
KBD,1669613054.333,TAB,False
KBD,1669613055.115,-,True
KBD,1669613055.18,-,False
